,price,carat,cut,color,clarity,depth,table,volume,L/W_ratio,V/W_Ratio,color_num,clarity_num,cut_num,carat_range,table_range,color_range
0,4268,1.21,Premium,J,VS2,62.4,58.0,314.89,0.6,260.24,7,5,2,8,8,N-CL
1,505,0.32,Very Good,H,VS2,63.0,57.0,83.45,0.7,260.78,5,5,3,2,7,N-CL
2,2686,0.71,Fair,G,VS1,65.5,55.0,171.86,1.6,242.06,4,4,5,5,5,N-CL
3,738,0.41,Good,D,SI1,63.8,56.0,104.26,0.9,254.29,1,6,4,3,6,CL
4,4882,1.02,Ideal,G,SI1,60.5,59.0,277.59,0.6,272.15,4,6,1,7,9,N-CL
5,9057,1.52,Ideal,F,SI2,61.2,57.0,406.86,0.8,267.67,3,7,1,9,7,CL
6,3733,1.01,Fair,H,VS2,65.2,56.0,238.71,0.6,236.35,5,5,5,7,6,N-CL
7,8608,1.52,Ideal,J,VS1,62.3,58.0,395.44,0.4,260.16,7,4,1,9,8,N-CL
8,557,0.31,Ideal,H,VS1,61.8,54.2,82.69,0.9,266.74,5,4,1,2,5,N-CL
9,6741,1.14,Ideal,G,SI1,61.7,56.0,305.72,0.6,268.18,4,6,1,7,6,N-CL
10,1040,0.44,Premium,E,SI1,62.3,59.0,114.32,0.8,259.82,2,6,2,3,9,CL
11,4284,1.02,Premium,I,SI1,58.0,58.0,297.95,3.5,292.11,6,6,2,7,8,N-CL
12,3101,0.93,Ideal,I,SI2,62.3,57.0,239.87,0.3,257.92,6,7,1,6,7,N-CL
13,14507,1.51,Premium,G,VS1,60.1,58.0,415.16,0.4,274.94,4,4,2,9,8,N-CL
14,10349,1.65,Ideal,H,SI2,61.6,55.0,440.13,0.5,266.75,5,7,1,9,5,N-CL
15,6006,1.5,Good,G,SI2,57.5,63.0,422.43,0.5,281.62,4,7,4,8,13,N-CL
16,1207,0.43,Ideal,D,VS1,62.1,56.0,115.03,0.4,267.51,1,4,1,3,6,CL
17,983,0.38,Premium,G,VS2,60.8,61.0,100.76,0.2,265.16,4,5,2,2,11,N-CL
18,3548,0.85,Ideal,I,VS1,61.9,56.0,226.24,0.3,266.16,6,4,1,5,6,N-CL
19,11078,1.53,Premium,D,SI2,60.7,60.0,409.07,0.5,267.37,1,7,2,9,10,CL
20,11177,1.54,Premium,H,VS2,61.0,60.0,410.72,0.5,266.7,5,5,2,9,10,N-CL
21,1740,0.71,Premium,G,SI2,62.0,59.0,181.64,0.7,255.83,4,7,2,5,9,N-CL
22,605,0.3,Very Good,G,VS1,61.7,56.0,80.43,0.9,268.1,4,4,3,1,6,N-CL
23,12932,1.3,Ideal,G,IF,61.3,56.0,350.4,0.4,269.54,4,1,1,8,6,N-CL
24,574,0.3,Premium,G,SI1,62.9,59.0,76.94,0.9,256.47,4,6,2,1,9,N-CL
25,2873,1.0,Ideal,I,SI2,61.7,56.0,265.02,0.6,265.02,6,7,1,6,6,N-CL
26,6216,1.0,Premium,G,VS2,61.6,54.0,270.84,0.5,270.84,4,5,2,6,4,N-CL
27,3568,0.9,Premium,D,SI1,61.7,56.0,228.46,1.1,253.84,1,6,2,5,6,CL
28,7066,1.55,Very Good,H,SI1,63.2,57.0,392.76,0.5,253.39,5,6,3,9,7,N-CL
29,3054,1.01,Premium,H,SI2,61.1,60.0,265.43,0.8,262.8,5,7,2,7,10,N-CL
30,4969,1.16,Premium,G,SI2,62.5,58.0,299.86,0.6,258.5,4,7,2,7,8,N-CL
31,743,0.35,Ideal,H,VVS1,62.0,53.9,92.34,0.7,263.83,5,2,1,2,4,N-CL
32,6801,0.97,Ideal,H,VVS1,60.4,57.0,268.74,1.2,277.05,5,2,1,6,7,N-CL
33,5717,1.19,Ideal,E,SI2,60.2,57.0,322.83,0.4,271.29,2,7,1,7,7,CL
