,0,1,2
0,L/W_ratio,L/W_ratio,1.0
1,L/W_ratio,V/W_Ratio,-0.077
2,L/W_ratio,volume,-0.003
3,L/W_ratio,depth,0.037
4,L/W_ratio,table,0.107
5,L/W_ratio,price,-0.015
6,L/W_ratio,carat,0.007
7,L/W_ratio,color_quality,0.003
8,L/W_ratio,clarity_quality,0.043
9,L/W_ratio,cut_quality,0.163
10,V/W_Ratio,L/W_ratio,-0.077
11,V/W_Ratio,V/W_Ratio,1.0
12,V/W_Ratio,volume,-0.109
13,V/W_Ratio,depth,-0.816
14,V/W_Ratio,table,-0.014
15,V/W_Ratio,price,-0.105
16,V/W_Ratio,carat,-0.178
17,V/W_Ratio,color_quality,-0.076
18,V/W_Ratio,clarity_quality,-0.173
19,V/W_Ratio,cut_quality,-0.316
20,volume,L/W_ratio,-0.003
21,volume,V/W_Ratio,-0.109
22,volume,volume,1.0
23,volume,depth,-0.039
24,volume,table,0.187
25,volume,price,0.926
26,volume,carat,0.997
27,volume,color_quality,0.29
28,volume,clarity_quality,0.349
29,volume,cut_quality,0.112
30,depth,L/W_ratio,0.037
31,depth,V/W_Ratio,-0.816
32,depth,volume,-0.039
33,depth,depth,1.0
34,depth,table,-0.302
35,depth,price,-0.016
36,depth,carat,0.023
37,depth,color_quality,0.048
38,depth,clarity_quality,0.067
39,depth,cut_quality,0.224
40,table,L/W_ratio,0.107
41,table,V/W_Ratio,-0.014
42,table,volume,0.187
43,table,depth,-0.302
44,table,table,1.0
45,table,price,0.131
46,table,carat,0.185
47,table,color_quality,0.032
48,table,clarity_quality,0.157
49,table,cut_quality,0.431
50,price,L/W_ratio,-0.015
51,price,V/W_Ratio,-0.105
52,price,volume,0.926
53,price,depth,-0.016
54,price,table,0.131
55,price,price,1.0
56,price,carat,0.923
57,price,color_quality,0.174
58,price,clarity_quality,0.151
59,price,cut_quality,0.054
60,carat,L/W_ratio,0.007
61,carat,V/W_Ratio,-0.178
62,carat,volume,0.997
63,carat,depth,0.023
64,carat,table,0.185
65,carat,price,0.923
66,carat,carat,1.0
67,carat,color_quality,0.293
68,carat,clarity_quality,0.356
69,carat,cut_quality,0.134
70,color_quality,L/W_ratio,0.003
71,color_quality,V/W_Ratio,-0.076
72,color_quality,volume,0.29
73,color_quality,depth,0.048
74,color_quality,table,0.032
75,color_quality,price,0.174
76,color_quality,carat,0.293
77,color_quality,color_quality,1.0
78,color_quality,clarity_quality,-0.022
79,color_quality,cut_quality,0.024
80,clarity_quality,L/W_ratio,0.043
81,clarity_quality,V/W_Ratio,-0.173
82,clarity_quality,volume,0.349
83,clarity_quality,depth,0.067
84,clarity_quality,table,0.157
85,clarity_quality,price,0.151
86,clarity_quality,carat,0.356
87,clarity_quality,color_quality,-0.022
88,clarity_quality,clarity_quality,1.0
89,clarity_quality,cut_quality,0.19
90,cut_quality,L/W_ratio,0.163
91,cut_quality,V/W_Ratio,-0.316
92,cut_quality,volume,0.112
93,cut_quality,depth,0.224
94,cut_quality,table,0.431
95,cut_quality,price,0.054
96,cut_quality,carat,0.134
97,cut_quality,color_quality,0.024
98,cut_quality,clarity_quality,0.19
99,cut_quality,cut_quality,1.0
