,price,carat,cut,color,clarity,depth,table,volume,L/W_ratio,V/W_Ratio,T/D_ratio
0,4268,1.21,Premium,J,VS2,62.4,58.0,314.89,0.6,260.24,0.9294871794871795
1,505,0.32,Very Good,H,VS2,63.0,57.0,83.45,0.7,260.78,0.9047619047619048
2,2686,0.71,Fair,G,VS1,65.5,55.0,171.86,1.6,242.06,0.8396946564885496
3,738,0.41,Good,D,SI1,63.8,56.0,104.26,0.9,254.29,0.877742946708464
4,4882,1.02,Ideal,G,SI1,60.5,59.0,277.59,0.6,272.15,0.9752066115702479
5,9057,1.52,Ideal,F,SI2,61.2,57.0,406.86,0.8,267.67,0.9313725490196078
6,3733,1.01,Fair,H,VS2,65.2,56.0,238.71,0.6,236.35,0.8588957055214723
7,8608,1.52,Ideal,J,VS1,62.3,58.0,395.44,0.4,260.16,0.9309791332263243
8,557,0.31,Ideal,H,VS1,61.8,54.2,82.69,0.9,266.74,0.877022653721683
9,6741,1.14,Ideal,G,SI1,61.7,56.0,305.72,0.6,268.18,0.9076175040518638
10,1040,0.44,Premium,E,SI1,62.3,59.0,114.32,0.8,259.82,0.9470304975922954
11,4284,1.02,Premium,I,SI1,58.0,58.0,297.95,3.5,292.11,1.0
12,3101,0.93,Ideal,I,SI2,62.3,57.0,239.87,0.3,257.92,0.9149277688603532
13,14507,1.51,Premium,G,VS1,60.1,58.0,415.16,0.4,274.94,0.9650582362728786
14,10349,1.65,Ideal,H,SI2,61.6,55.0,440.13,0.5,266.75,0.8928571428571428
15,6006,1.5,Good,G,SI2,57.5,63.0,422.43,0.5,281.62,1.0956521739130434
16,1207,0.43,Ideal,D,VS1,62.1,56.0,115.03,0.4,267.51,0.9017713365539453
17,983,0.38,Premium,G,VS2,60.8,61.0,100.76,0.2,265.16,1.0032894736842106
18,3548,0.85,Ideal,I,VS1,61.9,56.0,226.24,0.3,266.16,0.9046849757673667
19,11078,1.53,Premium,D,SI2,60.7,60.0,409.07,0.5,267.37,0.9884678747940692
20,11177,1.54,Premium,H,VS2,61.0,60.0,410.72,0.5,266.7,0.9836065573770492
21,1740,0.71,Premium,G,SI2,62.0,59.0,181.64,0.7,255.83,0.9516129032258065
22,605,0.3,Very Good,G,VS1,61.7,56.0,80.43,0.9,268.1,0.9076175040518638
23,12932,1.3,Ideal,G,IF,61.3,56.0,350.4,0.4,269.54,0.9135399673735727
24,574,0.3,Premium,G,SI1,62.9,59.0,76.94,0.9,256.47,0.9379968203497615
25,2873,1.0,Ideal,I,SI2,61.7,56.0,265.02,0.6,265.02,0.9076175040518638
26,6216,1.0,Premium,G,VS2,61.6,54.0,270.84,0.5,270.84,0.8766233766233766
27,3568,0.9,Premium,D,SI1,61.7,56.0,228.46,1.1,253.84,0.9076175040518638
28,7066,1.55,Very Good,H,SI1,63.2,57.0,392.76,0.5,253.39,0.9018987341772151
29,3054,1.01,Premium,H,SI2,61.1,60.0,265.43,0.8,262.8,0.9819967266775778
30,4969,1.16,Premium,G,SI2,62.5,58.0,299.86,0.6,258.5,0.928
31,743,0.35,Ideal,H,VVS1,62.0,53.9,92.34,0.7,263.83,0.8693548387096774
32,6801,0.97,Ideal,H,VVS1,60.4,57.0,268.74,1.2,277.05,0.9437086092715232
33,5717,1.19,Ideal,E,SI2,60.2,57.0,322.83,0.4,271.29,0.946843853820598
34,2422,0.7,Very Good,H,VS1,62.1,56.0,182.28,0.5,260.4,0.9017713365539453
35,2553,0.8,Very Good,H,SI1,63.2,54.0,205.03,0.8,256.29,0.8544303797468354
36,14208,2.0,Premium,I,SI2,61.3,59.0,532.09,0.5,266.04,0.9624796084828712
37,2858,0.71,Very Good,E,VS2,63.5,59.0,177.49,1.6,249.99,0.9291338582677166
38,5292,1.0,Premium,F,SI1,60.3,58.0,267.5,0.6,267.5,0.9618573797678276
39,1240,0.5,Ideal,E,SI2,62.4,57.0,128.28,0.8,256.56,0.9134615384615384
40,1875,0.51,Ideal,G,VVS2,61.3,57.0,135.8,0.6,266.27,0.9298531810766721
41,3861,1.04,Premium,G,SI2,62.2,59.0,276.73,1.2,266.09,0.9485530546623794
42,2587,0.64,Ideal,G,VVS2,61.8,54.0,170.95,0.5,267.11,0.8737864077669903
43,3648,0.8,Ideal,E,VS2,62.2,57.0,212.77,0.5,265.96,0.9163987138263665
44,552,0.3,Ideal,D,SI1,61.9,56.0,79.51,0.7,265.03,0.9046849757673667
45,866,0.38,Premium,E,VS2,61.8,58.0,99.25,0.7,261.18,0.9385113268608415
46,625,0.31,Ideal,G,VS1,62.1,55.0,82.69,0.9,266.74,0.8856682769726247
47,3830,1.0,Fair,H,SI1,55.2,64.0,294.96,0.7,294.96,1.1594202898550725
48,3184,0.78,Ideal,G,VS2,61.7,55.0,206.07,0.8,264.19,0.8914100486223663
49,5671,1.0,Very Good,D,SI1,59.8,59.0,274.2,0.6,274.2,0.9866220735785953
50,2399,0.7,Very Good,H,VS1,60.3,63.0,189.45,0.7,270.64,1.0447761194029852
51,1688,0.64,Very Good,F,SI1,60.7,59.0,172.18,1.5,269.03,0.971993410214168
52,513,0.31,Ideal,I,VS1,61.3,55.6,84.6,0.7,272.9,0.9070146818923328
53,1549,0.52,Ideal,G,VS2,61.9,55.0,138.19,0.6,265.75,0.8885298869143781
54,1002,0.33,Ideal,E,VS1,62.6,57.0,85.57,0.5,259.3,0.9105431309904153
55,878,0.3,Very Good,H,VVS1,63.4,57.0,78.58,0.9,261.93,0.8990536277602524
