,carat,price,cut
0,1.21,4268,Premium
1,0.32,505,Very Good
2,0.71,2686,Fair
3,0.41,738,Good
4,1.02,4882,Ideal
5,1.52,9057,Ideal
6,1.01,3733,Fair
7,1.52,8608,Ideal
8,0.31,557,Ideal
9,1.14,6741,Ideal
10,0.44,1040,Premium
11,1.02,4284,Premium
12,0.93,3101,Ideal
13,1.51,14507,Premium
14,1.65,10349,Ideal
15,1.5,6006,Good
16,0.43,1207,Ideal
17,0.38,983,Premium
18,0.85,3548,Ideal
19,1.53,11078,Premium
20,1.54,11177,Premium
21,0.71,1740,Premium
22,0.3,605,Very Good
23,1.3,12932,Ideal
24,0.3,574,Premium
25,1.0,2873,Ideal
26,1.0,6216,Premium
27,0.9,3568,Premium
28,1.55,7066,Very Good
29,1.01,3054,Premium
30,1.16,4969,Premium
31,0.35,743,Ideal
32,0.97,6801,Ideal
33,1.19,5717,Ideal
34,0.7,2422,Very Good
35,0.8,2553,Very Good
36,2.0,14208,Premium
37,0.71,2858,Very Good
38,1.0,5292,Premium
39,0.5,1240,Ideal
40,0.51,1875,Ideal
41,1.04,3861,Premium
42,0.64,2587,Ideal
43,0.8,3648,Ideal
44,0.3,552,Ideal
45,0.38,866,Premium
46,0.31,625,Ideal
47,1.0,3830,Fair
48,0.78,3184,Ideal
49,1.0,5671,Very Good
50,0.7,2399,Very Good
51,0.64,1688,Very Good
52,0.31,513,Ideal
53,0.52,1549,Ideal
54,0.33,1002,Ideal
55,0.3,878,Very Good
56,1.0,3679,Good
57,0.3,495,Ideal
58,0.47,1221,Premium
59,1.59,13839,Ideal
60,1.01,5113,Good
61,0.34,628,Ideal
62,0.31,816,Ideal
63,0.74,3434,Ideal
64,0.33,854,Ideal
65,1.08,5455,Ideal
66,0.79,2898,Ideal
67,0.3,776,Ideal
68,1.33,7887,Ideal
69,0.51,1008,Very Good
70,0.58,1342,Ideal
71,1.22,7623,Ideal
72,0.78,2440,Good
73,1.62,11152,Ideal
74,1.65,14456,Ideal
75,0.55,1975,Very Good
76,1.64,9801,Ideal
77,0.3,658,Premium
78,0.41,1076,Ideal
79,0.3,752,Premium
80,1.1,6121,Premium
81,1.03,4401,Ideal
82,0.3,416,Fair
83,1.02,4227,Premium
84,0.56,1915,Premium
85,1.51,14976,Very Good
86,1.13,4536,Premium
87,0.34,589,Ideal
88,1.16,4157,Premium
89,0.38,752,Very Good
90,1.03,5105,Premium
91,0.9,3715,Very Good
92,0.5,1415,Very Good
93,0.3,499,Ideal
94,0.64,2787,Ideal
95,0.91,2996,Fair
96,1.24,10485,Premium
97,2.3,16329,Ideal
98,0.27,603,Ideal
99,1.0,3864,Premium
100,0.71,2443,Ideal
101,0.36,810,Premium
102,0.31,593,Ideal
103,0.93,3988,Ideal
104,0.33,652,Good
105,1.77,9664,Premium
106,1.06,5223,Ideal
107,1.21,5226,Ideal
108,0.3,826,Ideal
109,1.27,6401,Ideal
110,0.92,4168,Very Good
111,0.31,489,Ideal
112,2.01,18561,Good
113,1.51,14674,Ideal
114,1.83,18358,Very Good
115,0.38,933,Premium
116,0.23,445,Premium
117,0.92,3610,Ideal
118,1.5,12069,Premium
119,0.32,645,Very Good
120,1.0,4372,Ideal
121,0.31,779,Very Good
122,0.52,1350,Good
123,2.01,14998,Ideal
124,0.31,565,Ideal
125,0.77,2086,Very Good
126,1.13,4537,Very Good
127,0.32,589,Ideal
128,2.07,16957,Premium
129,0.71,2443,Premium
130,1.11,7275,Ideal
131,1.02,4541,Premium
132,1.56,11636,Ideal
133,0.34,457,Very Good
134,0.96,3215,Premium
135,0.31,942,Premium
136,0.64,2060,Very Good
137,1.01,7882,Premium
138,0.35,706,Ideal
139,0.7,2373,Premium
140,0.3,675,Ideal
141,0.71,3137,Ideal
142,0.31,871,Ideal
143,2.25,9072,Ideal
144,1.18,5088,Premium
145,1.22,6409,Very Good
146,1.72,12830,Ideal
147,2.01,18394,Ideal
148,1.03,5581,Premium
149,0.7,2671,Ideal
150,1.01,5379,Good
151,1.0,5242,Fair
152,1.1,10487,Ideal
153,0.59,4208,Ideal
154,0.3,608,Very Good
155,0.56,1930,Ideal
156,0.9,3936,Premium
157,0.57,1732,Very Good
158,0.72,2328,Ideal
159,1.0,3511,Fair
160,0.4,1043,Ideal
161,1.22,4831,Premium
162,1.02,8955,Ideal
163,1.08,5625,Ideal
164,0.33,1052,Premium
165,0.42,1167,Very Good
166,1.36,6597,Very Good
167,0.58,2088,Ideal
168,1.02,4964,Good
169,1.19,6937,Good
170,2.01,15394,Good
171,1.15,4915,Very Good
172,0.79,2853,Premium
173,0.32,842,Premium
174,0.31,749,Ideal
175,0.54,1813,Very Good
176,0.5,1627,Very Good
177,1.86,11416,Very Good
178,1.04,5447,Very Good
179,1.41,10581,Ideal
180,0.3,499,Ideal
181,0.33,610,Ideal
182,1.06,6055,Ideal
183,0.31,372,Ideal
184,0.91,3344,Good
185,0.75,2083,Very Good
186,0.3,886,Very Good
187,0.41,1582,Ideal
188,1.01,3083,Premium
189,1.02,7657,Very Good
190,0.27,527,Ideal
191,0.7,2196,Very Good
192,1.51,9297,Ideal
193,2.22,13703,Ideal
194,0.54,1422,Premium
195,1.23,5283,Premium
196,0.9,3795,Good
197,0.88,2882,Fair
198,0.7,2208,Fair
199,0.31,558,Premium
200,1.25,6371,Ideal
201,1.01,4242,Premium
202,0.3,506,Very Good
203,0.28,487,Very Good
204,0.51,1227,Premium
205,0.52,1232,Ideal
